ticker,market,event_inventory_rows,event_inventory_available,no_event_completeness_proven,official_adjusted_complete,status
3325,TPEx,0,False,False,False,partial_event_inventory_no_no_event_proof
3338,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3346,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3356,TWSE,7,True,False,False,partial_event_inventory_no_no_event_proof
3357,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
3362,TPEx,3,True,False,False,partial_event_inventory_no_no_event_proof
3363,TPEx,2,True,False,False,partial_event_inventory_no_no_event_proof
3374,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
3376,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3379,TPEx,3,True,False,False,partial_event_inventory_no_no_event_proof
3380,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3402,TPEx,3,True,False,False,partial_event_inventory_no_no_event_proof
3406,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
3413,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3416,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3434,TPEx,8,True,False,False,partial_event_inventory_no_no_event_proof
3443,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3444,TPEx,5,True,False,False,partial_event_inventory_no_no_event_proof
3447,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3450,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3479,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
3481,TWSE,9,True,False,False,partial_event_inventory_no_no_event_proof
3483,TPEx,5,True,False,False,partial_event_inventory_no_no_event_proof
3491,TPEx,3,True,False,False,partial_event_inventory_no_no_event_proof
3498,TPEx,1,True,False,False,partial_event_inventory_no_no_event_proof
3515,TWSE,5,True,False,False,partial_event_inventory_no_no_event_proof
3526,TPEx,5,True,False,False,partial_event_inventory_no_no_event_proof
3528,TWSE,3,True,False,False,partial_event_inventory_no_no_event_proof
3529,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
3532,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3533,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3545,TWSE,4,True,False,False,partial_event_inventory_no_no_event_proof
3548,TPEx,5,True,False,False,partial_event_inventory_no_no_event_proof
3551,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
3558,TPEx,4,True,False,False,partial_event_inventory_no_no_event_proof
3563,TWSE,8,True,False,False,partial_event_inventory_no_no_event_proof
3564,TPEx,5,True,False,False,partial_event_inventory_no_no_event_proof
